Algorithm,Size,Comparisons,Exchanges,Time(ms)
Insertion Sort,1253,386288,387540,0
Insertion Sort,236,13967,14202,0
Insertion Sort,5440,7355501,7360940,2
Insertion Sort,2110,1101816,1103925,0
Insertion Sort,5962,8948620,8954581,2
Insertion Sort,4794,5712251,5717044,1
Insertion Sort,9361,21812253,21821613,6
Insertion Sort,3835,3709028,3712862,1
Insertion Sort,8524,18043617,18052140,5
Insertion Sort,5236,6838698,6843933,1
Insertion Sort,7567,14189905,14197471,3
Insertion Sort,6876,11822918,11829793,3
Insertion Sort,3736,3459477,3463212,0
Insertion Sort,7156,12951395,12958550,3
Insertion Sort,8438,17789620,17798057,4
Insertion Sort,6343,10149768,10156110,2
Insertion Sort,2903,2103684,2106586,0
Insertion Sort,5993,9072288,9078280,2
Insertion Sort,7244,12959307,12966550,3
Insertion Sort,8944,20043994,20052937,5
Insertion Sort,8608,18459760,18468367,5
Insertion Sort,6764,11378959,11385722,3
Insertion Sort,6387,10195374,10201760,2
Insertion Sort,2668,1753629,1756296,0
Insertion Sort,602,90958,91559,0
Insertion Sort,1725,763333,765057,0
Insertion Sort,9912,24484212,24494123,6
Insertion Sort,3683,3396847,3400529,0
Insertion Sort,975,244289,245263,0
Insertion Sort,3256,2628055,2631310,0
Insertion Sort,73,1188,1260,0
Insertion Sort,2769,1904563,1907331,0
Insertion Sort,7644,14565649,14573292,4
Insertion Sort,5386,7312507,7317892,2
Insertion Sort,2452,1508108,1510559,0
Insertion Sort,809,160612,161420,0
Insertion Sort,7558,14328193,14335750,4
Insertion Sort,4330,4691650,4695979,1
Insertion Sort,8602,18579805,18588406,5
Insertion Sort,6454,10493104,10499557,2
Insertion Sort,8374,17563203,17571576,4
Insertion Sort,8662,18710055,18718716,5
Insertion Sort,3410,2916042,2919451,0
Insertion Sort,1792,811104,812895,0
Insertion Sort,5013,6247555,6252567,1
Insertion Sort,811,168314,169124,0
Insertion Sort,6857,11829234,11836090,3
Insertion Sort,983,237309,238291,0
Insertion Sort,6802,11542033,11548834,3
Insertion Sort,1104,300021,301124,0
Insertion Sort,7880,15695533,15703412,4
Insertion Sort,7391,13491137,13498527,3
Insertion Sort,4384,4796462,4800845,1
Insertion Sort,7536,14237369,14244904,3
Insertion Sort,6958,12167694,12174651,3
Insertion Sort,7641,14505635,14513275,4
Insertion Sort,9533,22627822,22637354,6
Insertion Sort,4226,4447479,4451704,1
Insertion Sort,6236,9737671,9743906,2
Insertion Sort,6393,10460723,10467115,2
Insertion Sort,6797,11595153,11601949,3
Insertion Sort,4487,5060252,5064738,1
Insertion Sort,6319,9996901,10003219,2
Insertion Sort,8953,20117382,20126334,5
Insertion Sort,7558,14389934,14397491,3
Insertion Sort,5519,7685597,7691115,2
Insertion Sort,9480,22333968,22343447,6
Insertion Sort,6746,11463152,11469897,3
Insertion Sort,99,2411,2509,0
Insertion Sort,2584,1684495,1687078,0
Insertion Sort,9512,22554071,22563582,6
Insertion Sort,2049,1070459,1072507,0
Insertion Sort,1100,293663,294762,0
Insertion Sort,3460,2959320,2962779,0
Insertion Sort,5239,6827034,6832272,1
Insertion Sort,3990,3943781,3947770,1
Insertion Sort,4941,6004315,6009255,1
Insertion Sort,421,43288,43708,0
Insertion Sort,2499,1537278,1539776,0
Insertion Sort,2373,1410437,1412809,0
Insertion Sort,738,133797,134534,0
Insertion Sort,4536,5115002,5119537,1
Insertion Sort,5414,7397395,7402808,2
Insertion Sort,4110,4175205,4179314,1
Insertion Sort,9252,21550554,21559805,5
Insertion Sort,1548,591652,593199,0
Insertion Sort,128,4273,4400,0
Insertion Sort,2047,1035528,1037574,0
Insertion Sort,8941,20003516,20012456,5
Insertion Sort,5613,7888845,7894457,2
Insertion Sort,7811,15463097,15470907,4
Insertion Sort,7868,15341321,15349188,4
Insertion Sort,1144,339417,340560,0
Insertion Sort,7569,14373251,14380819,3
Insertion Sort,7038,12611444,12618481,3
Insertion Sort,9640,23293006,23302645,6
Insertion Sort,5684,8067242,8072925,2
Insertion Sort,478,55785,56262,0
Insertion Sort,913,206200,207112,0
Insertion Sort,4243,4487896,4492138,1
Insertion Sort,1191,354702,355892,0
Insertion Sort,6198,9687016,9693213,2
Insertion Sort,7151,12674599,12681749,3
Insertion Sort,5904,8607776,8613679,2
Insertion Sort,2287,1316960,1319246,0
Insertion Sort,5313,7015315,7020627,1
Insertion Sort,2,0,1,0
Insertion Sort,2898,2096773,2099670,0
Insertion Sort,2180,1175452,1177631,0
Insertion Sort,4294,4595157,4599450,1
Insertion Sort,2040,1040220,1042259,0
Insertion Sort,546,76818,77363,0
Insertion Sort,4809,5669855,5674663,1
Insertion Sort,5125,6494507,6499631,1
Insertion Sort,5274,6841988,6847261,1
Insertion Sort,4832,5886823,5891654,1
Insertion Sort,4753,5588565,5593317,1
Insertion Sort,6403,10295786,10302188,2
Insertion Sort,6590,10841642,10848231,3
Insertion Sort,2179,1178694,1180872,0
